"Year","Country","Population","AverageTemperature","MinTemperature","MaxTemperature","Country Name","GDP","Emissions","TotalDeaths","TotalAffected","TotalDamage"
1965,"MEX",44623043,20.7345,20.47275,20.99625,"Mexico",2.184e+10,1.686277648,27,0,8000
1965,"NGA",50127214,26.667,26.3540833333333,26.9799166666667,"Nigeria",5874422512,0.234677634,0,0,0
1965,"PAK",50845221,20.4951666666667,20.1913333333333,20.799,"Pakistan",5884712096,0.39284221,10000,0,0
1965,"USA",194303000,8.64766666666667,8.42091666666667,8.87441666666667,"United States",7.44e+11,17.45172525,577,1000,1638000
1966,"AUS",11651000,21.361,21.1748333333333,21.5471666666667,"Australia",27261731437,10.32809244,0,0,0
1966,"BRA",85837799,25.0864166666667,24.8484166666667,25.3244166666667,"Brazil",27062716578,0.749139805,946,4208138,60941
1966,"CAN",20048000,-5.14133333333333,-5.37891666666667,-4.90375,"Canada",60358632035,12.93491815,0,0,0
1966,"CHN",735400000,6.962,6.778,7.146,"China",76720285970,0.710891382,0,0,0
1966,"ESP",32283194,13.9699166666667,13.723,14.2168333333333,"Spain",28721062242,2.407735709,0,0,0
1966,"FRA",50508717,13.2151666666667,12.9170833333333,13.51325,"France",1.11e+11,6.874765083,114,0,0
1966,"GBR",54648500,8.55991666666667,8.30625,8.81358333333333,"United Kingdom",1.07e+11,11.31896078,140,0,0
1966,"IND",508161935,24.4385833333333,24.177,24.7001666666667,"India",45253641303,0.338014194,65,1050000,5600
1966,"ITA",52519000,13.0405833333333,12.7904166666667,13.29075,"Italy",73654870011,4.079440621,70,1300000,2e+06
1966,"JPN",99790000,12.1344166666667,11.9451666666667,12.3236666666667,"Japan",1.06e+11,4.206264706,422,16253,13900
1966,"KOR",29435571,12.02425,11.7963333333333,12.2521666666667,"Korea, Rep.",3928171298,1.0196641,117,200044,1977
1966,"MEX",46011038,20.3896666666667,20.1719166666667,20.6074166666667,"Mexico",2.432e+10,1.758940757,14,90069,24000
1966,"NGA",51217359,26.7785833333333,26.4924166666667,27.06475,"Nigeria",6366792664,0.252020804,0,0,0
1966,"PAK",52191095,20.5645833333333,20.3054166666667,20.82375,"Pakistan",6466610752,0.38945688,0,0,0
1966,"USA",196560000,8.483,8.29275,8.67325,"United States",8.15e+11,18.12107301,552,0,1e+05
1967,"AUS",11799000,21.6254166666667,21.426,21.8248333333333,"Australia",30389741292,10.9556248,662,3100,668500
1967,"BRA",88191378,25.0136666666667,24.76575,25.2615833333333,"Brazil",30591834054,0.750561092,1256,189543,15300
1967,"CAN",20412000,-5.28208333333333,-5.52766666666667,-5.0365,"Canada",64768831262,13.8103546,0,0,0
1967,"CHN",754550000,6.40258333333333,6.19558333333333,6.60958333333333,"China",72881631327,0.574162147,0,0,0
1967,"ESP",32682947,13.6979166666667,13.4519166666667,13.9439166666667,"Spain",31647119228,2.647227559,0,0,0
1967,"FRA",50915456,13.0875,12.8068333333333,13.3681666666667,"France",1.19e+11,7.30642216,93,0,20000
1967,"GBR",54943600,8.83316666666667,8.55425,9.11208333333333,"United Kingdom",1.11e+11,10.78410455,50,78,36400
1967,"IDN",105907403,25.8350833333333,25.6131666666667,26.057,"Indonesia",5667756645,0.231915478,485,212511,0
1967,"IND",518889779,23.9920833333333,23.7233333333333,24.2608333333333,"India",49466168891,0.331937527,4606,1065848,400
1967,"ITA",52900500,13.13725,12.9194166666667,13.3550833333333,"Italy",81133120065,4.431482557,0,0,0
1967,"JPN",100725000,12.2663333333333,12.0655,12.4671666666667,"Japan",1.24e+11,4.863557846,779,3235,20000
1967,"KOR",30130983,12.04625,11.8068333333333,12.2856666666667,"Korea, Rep.",4854576371,1.166635088,0,2800000,0
1967,"MEX",47429812,20.6833333333333,20.466,20.9006666666667,"Mexico",2.656e+10,1.899688259,111,279345,184500
1967,"NGA",52341834,26.5951666666667,26.3033333333333,26.887,"Nigeria",5203135937,0.245275452,0,0,0
1967,"PAK",53590929,20.3485833333333,20.0746666666667,20.6225,"Pakistan",7403821903,0.402548741,32,150000,2800
1967,"USA",198712000,8.902,8.70683333333333,9.09716666666667,"United States",8.62e+11,18.59831788,275,0,2e+05
1968,"AUS",12009000,21.4621666666667,21.2776666666667,21.6466666666667,"Australia",32657632434,11.21016771,12,6090,3600
1968,"BRA",90557064,24.63125,24.3974166666667,24.8650833333333,"Brazil",33875881876,0.854945684,113,0,0
1968,"CAN",20744000,-4.64575,-4.86408333333333,-4.42741666666667,"Canada",70759031842,14.6326452,0,0,0
1968,"CHN",774510000,6.727,6.5465,6.9075,"China",70846535056,0.605451997,0,0,0
1968,"ESP",33113134,13.9388333333333,13.7195833333333,14.1580833333333,"Spain",31475548481,2.93409754,0,0,0
1968,"FRA",51276054,12.79775,12.5584166666667,13.0370833333333,"France",1.3e+11,7.501194027,95,0,0
1968,"GBR",55211700,8.56591666666667,8.31708333333333,8.81475,"United Kingdom",1.05e+11,10.99348823,53,745,2500
1968,"IDN",108821564,25.9510833333333,25.7565833333333,26.1455833333333,"Indonesia",7076465295,0.25350528,252,150094,7831
1968,"IND",529967317,23.86475,23.6085,24.121,"India",52377324284,0.353486004,7459,8515000,94200
1968,"ITA",53235750,12.84525,12.6239166666667,13.0665833333333,"Italy",87942231678,4.686612774,296,58563,250000
1968,"JPN",101061000,12.1904166666667,12.0093333333333,12.3715,"Japan",1.47e+11,5.566593157,171,2981,131000
1968,"KOR",30838302,11.9564166666667,11.7091666666667,12.2036666666667,"Korea, Rep.",6117260076,1.207655726,18,0,3000
1968,"MEX",48894019,20.3160833333333,20.0911666666667,20.541,"Mexico",2.936e+10,1.922298042,55,500,0
1968,"NGA",53505978,26.804,26.4703333333333,27.1376666666667,"Nigeria",5200895982,0.123978726,0,0,0
1968,"PAK",55042397,20.3418333333333,20.0864166666667,20.59725,"Pakistan",8090088555,0.449427775,37,1075,0
1968,"USA",200706000,8.55325,8.36675,8.73975,"United States",9.43e+11,19.08938916,159,458,8000
1969,"AUS",12263000,21.8475833333333,21.6649166666667,22.03025,"Australia",36620002240,11.60055435,0,0,0
1969,"BRA",92935072,25.28275,25.0426666666667,25.5228333333333,"Brazil",37458898244,0.907249859,316,38305,5770
1969,"CAN",21028000,-4.50233333333333,-4.73908333333333,-4.26558333333333,"Canada",77887510242,14.61864861,38,0,0
1969,"CHN",796025000,6.456,6.26533333333333,6.64666666666667,"China",79705906247,0.725149509,3000,0,0
1969,"ESP",33441054,13.2113333333333,12.9871666666667,13.4355,"Spain",36038711600,2.897101868,0,0,0
1969,"FRA",51638260,12.8335,12.5874166666667,13.0795833333333,"France",1.41e+11,8.00297878,23,0,0
1969,"GBR",55441750,8.46791666666667,8.2225,8.71333333333333,"United Kingdom",1.13e+11,11.34267041,0,0,0
1969,"IDN",111800091,26.1130833333333,25.8824166666667,26.34375,"Indonesia",8337423313,0.298673299,64,250097,200
1969,"IND",541505076,24.5011666666667,24.2305,24.7718333333333,"India",57668330026,0.35221154,815,280092,8330
1969,"ITA",53537950,12.6295833333333,12.4058333333333,12.8533333333333,"Italy",97085082807,5.043311221,0,0,0
1969,"JPN",103172000,11.849,11.6640833333333,12.0339166666667,"Japan",1.72e+11,6.338523165,100,56,0
1969,"KOR",31544266,11.4480833333333,11.2300833333333,11.6660833333333,"Korea, Rep.",7675805108,1.348027309,630,349226,22400
1969,"MEX",50423481,20.9588333333333,20.755,21.1626666666667,"Mexico",3.248e+10,2.028564787,76,0,0
1969,"NGA",54716735,27.2146666666667,26.96325,27.4660833333333,"Nigeria",6634187316,0.221360083,2000,80000,0
1969,"PAK",56542434,21.0341666666667,20.783,21.2853333333333,"Pakistan",8632927257,0.424339373,0,0,0
1969,"USA",202677000,8.77083333333333,8.59825,8.94341666666667,"United States",1.02e+12,19.85794566,830,0,1820000
1970,"AUS",12507000,21.77575,21.5914166666667,21.9600833333333,"Australia",41261059469,11.80289054,13,0,72475
1970,"BRA",95326793,25.1910833333333,24.9306666666667,25.4515,"Brazil",42327600098,0.983579957,408,10104371,46100
1970,"CAN",21324000,-5.10316666666667,-5.34666666666667,-4.85966666666667,"Canada",87896095224,16.01414875,119,0,0
1970,"CHN",818315000,6.56816666666667,6.37733333333333,6.759,"China",92602973434,0.942934535,10407,14000,0
1970,"ESP",33814531,13.72,13.5001666666667,13.9398333333333,"Spain",40881655099,3.457969859,52,0,0
1970,"FRA",52035095,12.89925,12.65025,13.14825,"France",1.48e+11,8.436868233,258,37,0
1970,"GBR",55663250,8.66975,8.41691666666667,8.92258333333333,"United Kingdom",1.31e+11,11.7323973,0,0,0
1970,"IDN",114834780,26.0601666666667,25.8518333333333,26.2685,"Indonesia",9150684932,0.311951858,132,0,0
1970,"IND",553578513,24.0740833333333,23.8378333333333,24.3103333333333,"India",61589800520,0.352512006,1053,10353000,101200
1970,"ITA",53821850,12.8405833333333,12.6258333333333,13.0553333333333,"Italy",1.13e+11,5.513392312,72,1301850,271500
1970,"JPN",104345000,11.929,11.7366666666667,12.1213333333333,"Japan",2.13e+11,7.368088744,73,425,0
1970,"KOR",32240827,11.71125,11.4645833333333,11.9579166666667,"Korea, Rep.",8999227202,1.668191979,67,9500,5100
1970,"MEX",52029861,20.4900833333333,20.2668333333333,20.7133333333333,"Mexico",3.552e+10,2.192453215,35,0,0
1970,"NGA",55981400,26.9465,26.6799166666667,27.2130833333333,"Nigeria",12545849083,0.384769906,0,0,0
1970,"PAK",58090759,21.1893333333333,20.9108333333333,21.4678333333333,"Pakistan",10027088849,0.418963006,0,1105,60
1970,"USA",205052000,8.673,8.49541666666667,8.85058333333333,"United States",1.08e+12,21.11125227,134,0,697000
1971,"AUS",12937000,21.6543333333333,21.4763333333333,21.8323333333333,"Australia",45138313361,11.80911757,30,0,139219
1971,"BRA",97728961,24.6085,24.3284166666667,24.8885833333333,"Brazil",49204456700,1.050207246,239,13000,5200
1971,"CAN",21645535,-4.86958333333333,-5.09908333333333,-4.64008333333333,"Canada",99271961478,16.29009027,31,1500,0
1971,"CHN",841105000,6.84625,6.67033333333333,7.02216666666667,"China",99800958648,1.042239697,0,0,0
1971,"ESP",34224490,13.0915833333333,12.8755,13.3076666666667,"Spain",46492797365,3.75994979,400,0,155000
1971,"FRA",52480421,12.8691666666667,12.6175833333333,13.12075,"France",1.66e+11,8.81155982,0,0,0
1971,"GBR",55896223,9.0505,8.80083333333333,9.30016666666667,"United Kingdom",1.48e+11,11.82303629,95,167,0
1971,"IDN",117921998,25.7929166666667,25.5866666666667,25.9991666666667,"Indonesia",9333536360,0.330621467,0,0,0
1971,"IND",566224812,23.634,23.4179166666667,23.8500833333333,"India",66452561866,0.363581819,11041,7065000,560000
1971,"ITA",54073490,12.7889166666667,12.565,13.0128333333333,"Italy",1.24e+11,5.762318227,22,4220,41600
1971,"JPN",105697000,11.9834166666667,11.8103333333333,12.1565,"Japan",2.4e+11,7.545561028,297,0,0
1971,"KOR",32882704,11.9204166666667,11.6485,12.1923333333333,"Korea, Rep.",9889961112,1.782608723,267,50,0
1971,"MEX",53718724,20.6403333333333,20.41925,20.8614166666667,"Mexico",3.92e+10,2.351864333,17,0,0
1971,"NGA",57295210,26.7961666666667,26.5213333333333,27.071,"Nigeria",9181769912,0.563408372,0,0,0
1971,"PAK",59687140,20.96625,20.67325,21.25925,"Pakistan",10602058190,0.386623165,0,0,0
1971,"USA",207661000,8.4425,8.27425,8.61075,"United States",1.17e+12,20.98020348,248,1061,535000
1972,"AUS",13177000,22.0120833333333,21.8163333333333,22.2078333333333,"Australia",51954439252,11.95163155,0,0,0
1972,"BGD",67597470,25.1438333333333,24.872,25.4156666666667,"Bangladesh",6288245867,0.051914946,250,25000,0
1972,"BRA",100143598,25.0973333333333,24.85525,25.3394166666667,"Brazil",58539008786,1.141987419,39,51,0
1972,"CAN",21993631,-6.80291666666667,-7.05483333333333,-6.551,"Canada",1.13e+11,17.329425,67,0,0
1972,"CHN",862030000,6.81441666666667,6.64041666666667,6.98841666666667,"China",1.14e+11,1.080676637,0,0,0
1972,"ESP",34604469,12.8106666666667,12.5928333333333,13.0285,"Spain",58971806627,4.190966866,84,100,20000
1972,"FRA",52959228,12.5944166666667,12.3209166666667,12.8679166666667,"France",2.03e+11,9.07734214,168,111,0
1972,"GBR",56086065,8.4925,8.22433333333333,8.76066666666667,"United Kingdom",1.7e+11,11.56235418,149,0,0
1972,"IDN",121059513,26.0619166666667,25.8325,26.2913333333333,"Indonesia",10997590361,0.358007991,72,3500000,70000
1972,"IND",579411513,24.2721666666667,23.9954166666667,24.5489166666667,"India",70509913049,0.375983444,330,204530075,1e+05
1972,"ITA",54381345,12.7168333333333,12.4915,12.9421666666667,"Italy",1.45e+11,6.049321454,1,450,0
1972,"JPN",107188000,12.5921666666667,12.3909166666667,12.7934166666667,"Japan",3.18e+11,7.961462468,703,0,0
1972,"KOR",33505406,12.1338333333333,11.8534166666667,12.41425,"Korea, Rep.",10842220469,1.800808443,797,1128339,73434
1972,"MEX",55478151,20.975,20.75125,21.19875,"Mexico",4.52e+10,2.387595326,249,101870,0
1972,"NGA",58662603,26.88575,26.6119166666667,27.1595833333333,"Nigeria",12274416018,0.706175602,21,100,0
1972,"PAK",61338261,20.1001666666667,19.8195,20.3808333333333,"Pakistan",9309109764,0.308601087,0,0,0
1972,"USA",209896000,8.42808333333333,8.24425,8.61191666666667,"United States",1.28e+12,21.74864198,1315,3841,2220000
1973,"AUS",13380000,22.41275,22.2073333333333,22.6181666666667,"Australia",63721973094,12.77968685,12,12000,71000
1973,"BGD",68691185,25.2655833333333,24.9759166666667,25.55525,"Bangladesh",8086725729,0.066302743,2327,50000,0
1973,"BRA",102584278,25.1695833333333,24.9420833333333,25.3970833333333,"Brazil",79279057731,1.291260645,20,0,16000
1973,"CAN",22369408,-4.1795,-4.42041666666667,-3.93858333333333,"Canada",1.31e+11,17.05995183,0,0,0
1973,"CHN",881940000,7.20958333333333,7.01841666666667,7.40075,"China",1.39e+11,1.098195691,0,0,0
1973,"ESP",34988947,13.4201666666667,13.1901666666667,13.6501666666667,"Spain",78425934894,4.440462955,519,0,4e+05
1973,"FRA",53441264,12.8871666666667,12.6354166666667,13.1389166666667,"France",2.64e+11,9.666680526,254,6,0
1973,"GBR",56194527,8.7935,8.54016666666667,9.04683333333333,"United Kingdom",1.93e+11,11.74552694,58,164,0
1973,"IDN",124242298,26.2218333333333,25.9776666666667,26.466,"Indonesia",16273253012,0.395470253,1702,34,0
1973,"IND",593058926,24.3865833333333,24.1575,24.6156666666667,"India",84374541630,0.378281792,309,0,0
1973,"ITA",54751406,12.7985,12.5775833333333,13.0194166666667,"Italy",1.75e+11,6.471435784,38,5000,480000
1973,"JPN",108079000,12.41475,12.2080833333333,12.6214166666667,"Japan",4.32e+11,8.472958752,128,0,0
1973,"KOR",34103149,12.4324166666667,12.1984166666667,12.6664166666667,"Korea, Rep.",13841885921,2.143330254,0,0,0
1973,"MEX",57280587,20.4961666666667,20.2568333333333,20.7355,"Mexico",5.528e+10,2.5190521,647,150027,1e+05
1973,"NGA",60110433,27.472,27.1605833333333,27.7834166666667,"Nigeria",15162871287,0.824779286,176,0,0
1973,"PAK",63059481,20.7395833333333,20.4121666666667,21.067,"Pakistan",6324884129,0.317739501,474,4800000,661500
1973,"USA",211909000,8.93466666666667,8.73275,9.13658333333333,"United States",1.43e+12,22.51058213,214,601,550000
1974,"AUS",13723000,21.2380833333333,21.0255833333333,21.4505833333333,"Australia",88809137804,12.55966873,90,45640,1102689
1974,"BGD",69884420,25.0395,24.729,25.35,"Bangladesh",12512460520,0.066692361,31500,3.8e+07,579200
1974,"BRA",105069367,24.5815,24.37325,24.78975,"Brazil",1.05e+11,1.365352349,2015,355000,121000
1974,"CAN",22774087,-5.64108333333333,-5.87383333333333,-5.40833333333333,"Canada",1.6e+11,17.12344306,32,0,89500
1974,"CHN",900350000,6.65941666666667,6.45758333333333,6.86125,"China",1.44e+11,1.097367111,20000,0,0
1974,"ESP",35373335,13.3241666666667,13.09025,13.5580833333333,"Spain",97009800115,4.89498864,4,129,0
1974,"FRA",53882416,13.0404166666667,12.8065,13.2743333333333,"France",2.86e+11,9.262230669,346,0,0
1974,"GBR",56229974,8.76016666666667,8.52066666666667,8.99966666666667,"United Kingdom",2.06e+11,10.98359286,29,3100,0
1974,"IDN",127465231,25.8970833333333,25.65475,26.1394166666667,"Indonesia",25802409639,0.402156671,10,2000,0
1974,"IND",607050255,24.17575,23.9791666666667,24.3723333333333,"India",98198276857,0.382164002,280,25100,0
1974,"ITA",55110868,12.8075833333333,12.5844166666667,13.03075,"Italy",1.99e+11,6.521514722,0,0,0
1974,"JPN",110162000,11.7905,11.5855833333333,11.9954166666667,"Japan",4.8e+11,8.313879441,364,644,4e+05
1974,"KOR",34692266,11.3883333333333,11.1595,11.6171666666667,"Korea, Rep.",19482038223,2.181664351,88,0,0
1974,"MEX",59088193,20.6315,20.402,20.861,"Mexico",7.2e+10,2.623328776,13,0,0
1974,"NGA",61673559,26.5926666666667,26.2965,26.8888333333333,"Nigeria",24846641318,1.010016772,0,0,0
1974,"PAK",64870833,20.4351666666667,20.1550833333333,20.71525,"Pakistan",8773030424,0.330178387,4740,50200,3255
1974,"USA",213854000,8.81591666666667,8.63016666666667,9.00166666666667,"United States",1.55e+12,21.50293038,386,499,1e+06
1975,"AUS",13893000,21.6926666666667,21.47075,21.9145833333333,"Australia",97147343985,12.65989981,13,36,118545
1975,"BGD",71305923,25.1439166666667,24.80375,25.4840833333333,"Bangladesh",19448348073,0.06829413,0,0,0
1975,"BRA",107612100,24.67675,24.466,24.8875,"Brazil",1.24e+11,1.40471881,244,828707,854900
1975,"CAN",23209000,-4.94566666666667,-5.199,-4.69233333333333,"Canada",1.74e+11,17.11161334,43,340,2500
1975,"CHN",916395000,7.10091666666667,6.89825,7.30358333333333,"China",1.63e+11,1.250124095,30500,1.1e+07,0
1975,"ESP",35757900,13.37425,13.1404166666667,13.6080833333333,"Spain",1.14e+11,5.079852145,28,0,0
