"Year","Country","CountryName","Population","AverageTemperature","MinTemperature","MaxTemperature","GDP","Emissions","TotalDeaths","TotalAffected","TotalDamage"
1966,"NGA","Nigeria",51217359,26.7785833333333,26.4924166666667,27.06475,6366792664,12.8932,NA,NA,NA
1966,"PAK","Pakistan",52191095,20.5645833333333,20.3054166666667,20.82375,6466610752,17.1258,NA,NA,NA
1966,"RUS","Russian Federation",127468000,-6.30958333333333,-6.53458333333333,-6.08458333333333,NA,1230.9175,NA,NA,NA
1967,"AUS","Australia",11799000,21.6254166666667,21.426,21.8248333333333,30389741292,129.1442,662,0,668500
1967,"BGD","Bangladesh",59620669,24.9924166666667,24.7503333333333,25.2345,7253575399,3.3711,91,200,0
1967,"BRA","Brazil",88191378,25.0136666666667,24.76575,25.2615833333333,30591834054,66.0794,1256,0,0
1967,"CAN","Canada",20412000,-5.28208333333333,-5.52766666666667,-5.0365,64768831262,281.637,NA,NA,NA
1967,"CHN","China",754550000,6.40258333333333,6.19558333333333,6.60958333333333,72881631327,432.2236,NA,NA,NA
1967,"DEU","Germany",76951336,9.04166666666667,8.82075,9.26258333333333,NA,936.2294,NA,NA,NA
1967,"ESP","Spain",32682947,13.6979166666667,13.4519166666667,13.9439166666667,31647119228,86.394,NA,NA,NA
1967,"FRA","France",50915456,13.0875,12.8068333333333,13.3681666666667,1.19e+11,372.4753,93,0,0
1967,"GBR","United Kingdom",54943600,8.83316666666667,8.55425,9.11208333333333,1.11e+11,592.057,50,0,0
1967,"IDN","Indonesia",105907403,25.8350833333333,25.6131666666667,26.057,5667756645,24.54,485,0,0
1967,"IND","India",518889779,23.9920833333333,23.7233333333333,24.2608333333333,49466168891,172.0931,4606,0,0
1967,"ITA","Italy",52900500,13.13725,12.9194166666667,13.3550833333333,81133120065,234.1297,NA,NA,NA
1967,"JPN","Japan",100725000,12.2663333333333,12.0655,12.4671666666667,1.24e+11,489.3074,779,3235,0
1967,"MEX","Mexico",47429812,20.6833333333333,20.466,20.9006666666667,2.656e+10,90.0055,0,279345,184500
1967,"NGA","Nigeria",52341834,26.5951666666667,26.3033333333333,26.887,5203135937,12.8245,NA,NA,NA
1967,"PAK","Pakistan",53590929,20.3485833333333,20.0746666666667,20.6225,7403821903,18.1759,32,150000,2800
1967,"RUS","Russian Federation",128196000,-4.36325,-4.60941666666667,-4.11708333333333,NA,1287.1255,NA,NA,NA
1968,"AUS","Australia",12009000,21.4621666666667,21.2776666666667,21.6466666666667,32657632434,134.4969,0,6090,3600
1968,"BGD","Bangladesh",61579473,24.9405,24.7391666666667,25.1418333333333,7483685474,3.8657,339,15905754,200900
1968,"BRA","Brazil",90557064,24.63125,24.3974166666667,24.8650833333333,33875881876,77.2714,113,0,0
1968,"CAN","Canada",20744000,-4.64575,-4.86408333333333,-4.42741666666667,70759031842,303.2613,NA,NA,NA
1968,"CHN","China",774510000,6.727,6.5465,6.9075,70846535056,467.8056,NA,NA,NA
1968,"DEU","Germany",77294314,8.32358333333333,8.11925,8.52791666666667,NA,984.7908,NA,NA,NA
1968,"ESP","Spain",33113134,13.9388333333333,13.7195833333333,14.1580833333333,31475548481,97.0172,NA,NA,NA
1968,"FRA","France",51276054,12.79775,12.5584166666667,13.0370833333333,1.3e+11,385.101,95,0,0
1968,"GBR","United Kingdom",55211700,8.56591666666667,8.31708333333333,8.81475,1.05e+11,606.4883,53,0,0
1968,"IDN","Indonesia",108821564,25.9510833333333,25.7565833333333,26.1455833333333,7076465295,27.5626,252,0,0
1968,"IND","India",529967317,23.86475,23.6085,24.121,52377324284,187.1046,7459,0,0
1968,"ITA","Italy",53235750,12.84525,12.6239166666667,13.0665833333333,87942231678,249.1722,296,58563,0
1968,"JPN","Japan",101061000,12.1904166666667,12.0093333333333,12.3715,1.47e+11,561.9126,0,0,0
1968,"MEX","Mexico",48894019,20.3160833333333,20.0911666666667,20.541,2.936e+10,93.8872,55,0,0
1968,"NGA","Nigeria",53505978,26.804,26.4703333333333,27.1376666666667,5200895982,6.6259,NA,NA,NA
1968,"PAK","Pakistan",55042397,20.3418333333333,20.0864166666667,20.59725,8090088555,20.8418,37,1075,0
1968,"RUS","Russian Federation",128928000,-5.58958333333333,-5.80908333333333,-5.37008333333333,NA,1323.3053,NA,NA,NA
1969,"AUS","Australia",12263000,21.8475833333333,21.6649166666667,22.03025,36620002240,142.1238,NA,NA,NA
1969,"BGD","Bangladesh",63417394,25.2543333333333,25.0280833333333,25.4805833333333,8471006101,3.7493,849,199473,8329
1969,"BRA","Brazil",92935072,25.28275,25.0426666666667,25.5228333333333,37458898244,84.1327,316,38305,5770
1969,"CAN","Canada",21028000,-4.50233333333333,-4.73908333333333,-4.26558333333333,77887510242,307.1192,38,0,0
1969,"CHN","China",796025000,6.456,6.26533333333333,6.64666666666667,79705906247,575.9447,0,0,0
