Year,Country,Population,AverageTemperature,Country.Name,GDP,Emissions,TotalDeaths,TotalAffected,TotalDamage,MeanTemperature,anamoly
1967,NGA,52341834,26.5951666666667,Nigeria,5203135937,0.245275452,0,0,0,27.0908977987421,0.495731132075445
1967,PAK,53590929,20.3485833333333,Pakistan,7403821903,0.402548741,32,150000,2800,21.0765581761006,0.727974842767328
1967,USA,198712000,8.902,United States,862000000000,18.59831788,275,0,200000,9.175704218107,0.273704218106996
1968,AUS,12009000,21.4621666666667,Australia,32657632434,11.21016771,12,6090,3600,22.0145471698113,0.552380503144619
1968,BRA,90557064,24.63125,Brazil,33875881876,0.854945684,113,0,0,25.2288349056604,0.597584905660376
1968,CAN,20744000,-4.64575,Canada,70759031842,14.6326452,0,0,0,-4.37132716049383,0.274422839506173
1968,CHN,774510000,6.727,China,70846535056,0.605451997,0,0,0,7.13916981132075,0.412169811320754
1968,ESP,33113134,13.9388333333333,Spain,31475548481,2.93409754,0,0,0,14.113213836478,0.174380503144691
1968,FRA,51276054,12.79775,France,130000000000,7.501194027,95,0,0,13.3241273584906,0.526377358490571
1968,GBR,55211700,8.56591666666667,United Kingdom,105000000000,10.99348823,53,745,2500,8.96133173076923,0.395415064102561
1968,IDN,108821564,25.9510833333333,Indonesia,7076465295,0.25350528,252,150094,7831,26.1597699275362,0.208686594202927
1968,IND,529967317,23.86475,India,52377324284,0.353486004,7459,8515000,94200,24.3524496855346,0.48769968553459
1968,ITA,53235750,12.84525,Italy,87942231678,4.686612774,296,58563,250000,13.2578726415094,0.412622641509428
1968,JPN,101061000,12.1904166666667,Japan,147000000000,5.566593157,171,2981,131000,12.4686210691824,0.278204402515692
1968,KOR,30838302,11.9564166666667,"Korea, Rep.",6117260076,1.207655726,18,0,3000,12.4023286163522,0.445911949685501
1968,MEX,48894019,20.3160833333333,Mexico,29360000000,1.922298042,55,500,0,20.9283667695473,0.612283436214021
1968,NGA,53505978,26.804,Nigeria,5200895982,0.123978726,0,0,0,27.0908977987421,0.286897798742146
1968,PAK,55042397,20.3418333333333,Pakistan,8090088555,0.449427775,37,1075,0,21.0765581761006,0.734724842767324
1968,USA,200706000,8.55325,United States,943000000000,19.08938916,159,458,8000,9.175704218107,0.622454218106995
1969,AUS,12263000,21.8475833333333,Australia,36620002240,11.60055435,0,0,0,22.0145471698113,0.166963836478018
1969,BRA,92935072,25.28275,Brazil,37458898244,0.907249859,316,38305,5770,25.2288349056604,-0.053915094339622
1969,CAN,21028000,-4.50233333333333,Canada,77887510242,14.61864861,38,0,0,-4.37132716049383,0.131006172839503
1969,CHN,796025000,6.456,China,79705906247,0.725149509,3000,0,0,7.13916981132075,0.683169811320754
1969,ESP,33441054,13.2113333333333,Spain,36038711600,2.897101868,0,0,0,14.113213836478,0.901880503144691
1969,FRA,51638260,12.8335,France,141000000000,8.00297878,23,0,0,13.3241273584906,0.49062735849057
1969,GBR,55441750,8.46791666666667,United Kingdom,113000000000,11.34267041,0,0,0,8.96133173076923,0.493415064102562
1969,IDN,111800091,26.1130833333333,Indonesia,8337423313,0.298673299,64,250097,200,26.1597699275362,0.046686594202928
1969,IND,541505076,24.5011666666667,India,57668330026,0.35221154,815,280092,8330,24.3524496855346,-0.148716981132107
1969,ITA,53537950,12.6295833333333,Italy,97085082807,5.043311221,0,0,0,13.2578726415094,0.628289308176127
1969,JPN,103172000,11.849,Japan,172000000000,6.338523165,100,56,0,12.4686210691824,0.619621069182392
1969,KOR,31544266,11.4480833333333,"Korea, Rep.",7675805108,1.348027309,630,349226,22400,12.4023286163522,0.954245283018901
1969,MEX,50423481,20.9588333333333,Mexico,32480000000,2.028564787,76,0,0,20.9283667695473,-0.030466563785979
1969,NGA,54716735,27.2146666666667,Nigeria,6634187316,0.221360083,2000,80000,0,27.0908977987421,-0.123768867924557
1969,PAK,56542434,21.0341666666667,Pakistan,8632927257,0.424339373,0,0,0,21.0765581761006,0.042391509433926
1969,USA,202677000,8.77083333333333,United States,1020000000000,19.85794566,830,0,1820000,9.175704218107,0.404870884773665
1970,AUS,12507000,21.77575,Australia,41261059469,11.80289054,13,0,72475,22.0145471698113,0.23879716981132
1970,BRA,95326793,25.1910833333333,Brazil,42327600098,0.983579957,408,10104371,46100,25.2288349056604,0.037751572327078
1970,CAN,21324000,-5.10316666666667,Canada,87896095224,16.01414875,119,0,0,-4.37132716049383,0.731839506172843
1970,CHN,818315000,6.56816666666667,China,92602973434,0.942934535,10407,14000,0,7.13916981132075,0.571003144654084
1970,ESP,33814531,13.72,Spain,40881655099,3.457969859,52,0,0,14.113213836478,0.39321383647799
1970,FRA,52035095,12.89925,France,148000000000,8.436868233,258,37,0,13.3241273584906,0.424877358490571
1970,GBR,55663250,8.66975,United Kingdom,131000000000,11.7323973,0,0,0,8.96133173076923,0.291581730769231
1970,IDN,114834780,26.0601666666667,Indonesia,9150684932,0.311951858,132,0,0,26.1597699275362,0.099603260869529
1970,IND,553578513,24.0740833333333,India,61589800520,0.352512006,1053,10353000,101200,24.3524496855346,0.278366352201292
1970,ITA,53821850,12.8405833333333,Italy,113000000000,5.513392312,72,1301850,271500,13.2578726415094,0.417289308176128
1970,JPN,104345000,11.929,Japan,213000000000,7.368088744,73,425,0,12.4686210691824,0.539621069182392
1970,KOR,32240827,11.71125,"Korea, Rep.",8999227202,1.668191979,67,9500,5100,12.4023286163522,0.6910786163522
1970,MEX,52029861,20.4900833333333,Mexico,35520000000,2.192453215,35,0,0,20.9283667695473,0.438283436214022
1970,NGA,55981400,26.9465,Nigeria,12545849083,0.384769906,0,0,0,27.0908977987421,0.144397798742144
1970,PAK,58090759,21.1893333333333,Pakistan,10027088849,0.418963006,0,1105,60,21.0765581761006,-0.112775157232672
1970,USA,205052000,8.673,United States,1080000000000,21.11125227,134,0,697000,9.175704218107,0.502704218106995
1971,AUS,12937000,21.6543333333333,Australia,45138313361,11.80911757,30,0,139219,22.0145471698113,0.360213836478017
1971,BRA,97728961,24.6085,Brazil,49204456700,1.050207246,239,13000,5200,25.2288349056604,0.620334905660378
1971,CAN,21645535,-4.86958333333333,Canada,99271961478,16.29009027,31,1500,0,-4.37132716049383,0.498256172839503
1971,CHN,841105000,6.84625,China,99800958648,1.042239697,0,0,0,7.13916981132075,0.292919811320754
1971,ESP,34224490,13.0915833333333,Spain,46492797365,3.75994979,400,0,155000,14.113213836478,1.02163050314469
1971,FRA,52480421,12.8691666666667,France,166000000000,8.81155982,0,0,0,13.3241273584906,0.454960691823871
1971,GBR,55896223,9.0505,United Kingdom,148000000000,11.82303629,95,167,0,8.96133173076923,-0.089168269230768
1971,IDN,117921998,25.7929166666667,Indonesia,9333536360,0.330621467,0,0,0,26.1597699275362,0.366853260869529
1971,IND,566224812,23.634,India,66452561866,0.363581819,11041,7065000,560000,24.3524496855346,0.718449685534591
1971,ITA,54073490,12.7889166666667,Italy,124000000000,5.762318227,22,4220,41600,13.2578726415094,0.468955974842729
1971,JPN,105697000,11.9834166666667,Japan,240000000000,7.545561028,297,0,0,12.4686210691824,0.485204402515691
1971,KOR,32882704,11.9204166666667,"Korea, Rep.",9889961112,1.782608723,267,50,0,12.4023286163522,0.4819119496855
1971,MEX,53718724,20.6403333333333,Mexico,39200000000,2.351864333,17,0,0,20.9283667695473,0.288033436214022
1971,NGA,57295210,26.7961666666667,Nigeria,9181769912,0.563408372,0,0,0,27.0908977987421,0.294731132075444
1971,PAK,59687140,20.96625,Pakistan,10602058190,0.386623165,0,0,0,21.0765581761006,0.110308176100627
1971,USA,207661000,8.4425,United States,1170000000000,20.98020348,248,1061,535000,9.175704218107,0.733204218106994
1972,AUS,13177000,22.0120833333333,Australia,51954439252,11.95163155,0,0,0,22.0145471698113,0.002463836478018
1972,BGD,67597470,25.1438333333333,Bangladesh,6288245867,0.051914946,250,25000,0,25.3278983739837,0.184065040650438
1972,BRA,100143598,25.0973333333333,Brazil,58539008786,1.141987419,39,51,0,25.2288349056604,0.131501572327078
1972,CAN,21993631,-6.80291666666667,Canada,113000000000,17.329425,67,0,0,-4.37132716049383,2.43158950617284
1972,CHN,862030000,6.81441666666667,China,114000000000,1.080676637,0,0,0,7.13916981132075,0.324753144654085
1972,ESP,34604469,12.8106666666667,Spain,58971806627,4.190966866,84,100,20000,14.113213836478,1.30254716981129
