Country,Year,AverageTemperature,MinTemperature,MaxTemperature
CUB,1993,25.8744166666667,25.6169166666667,26.1319166666667
CUB,1994,26.2646666666667,25.9471666666667,26.5821666666667
CUB,1995,26.1275,25.8108333333333,26.4441666666667
CUB,1996,25.8013333333333,25.4273333333333,26.1753333333333
CUB,1997,26.63825,26.3530833333333,26.9234166666667
CUB,1998,26.4070833333333,26.1175,26.6966666666667
CUB,1999,25.7975,25.4504166666667,26.1445833333333
CUB,2000,25.785,25.3226666666667,26.2473333333333
CUB,2001,25.8564166666667,25.427,26.2858333333333
CUB,2002,26.313,26.01825,26.60775
CUB,2003,26.3615833333333,25.9813333333333,26.7418333333333
CUB,2004,26.2689166666667,25.8664166666667,26.6714166666667
CUB,2005,26.1440833333333,25.8284166666667,26.45975
CUB,2006,26.1545,25.8225,26.4865
CUB,2007,26.27975,25.9705833333333,26.5889166666667
CUB,2008,26.05475,25.7661666666667,26.3433333333333
CUB,2009,26.0223333333333,25.7741666666667,26.2705
CUB,2010,25.6273333333333,25.312,25.9426666666667
CUB,2011,26.153,25.8579166666667,26.4480833333333
CUB,2012,26.059,25.69475,26.42325
CUB,2013,26.2504444444444,25.7518888888889,26.749
CUW,1900,27.45525,26.68125,28.22925
CUW,1901,27.2511666666667,26.6448333333333,27.8575
CUW,1902,27.366,26.6605,28.0715
CUW,1903,27.3675,26.8095833333333,27.9254166666667
CUW,1904,26.81025,26.2491666666667,27.3713333333333
CUW,1905,27.1973333333333,26.6900833333333,27.7045833333333
CUW,1906,27.13025,26.6076666666667,27.6528333333333
CUW,1907,26.896,26.3895833333333,27.4024166666667
CUW,1908,27.001,26.4444166666667,27.5575833333333
CUW,1909,26.918,26.26,27.576
CUW,1910,26.9580833333333,26.1820833333333,27.7340833333333
CUW,1911,26.9873333333333,26.5135,27.4611666666667
CUW,1912,27.1215,26.446,27.797
CUW,1913,26.7573333333333,26.3029166666667,27.21175
CUW,1914,27.23275,26.7375833333333,27.7279166666667
CUW,1915,27.6995,27.2153333333333,28.1836666666667
CUW,1916,27.0041666666667,26.5395833333333,27.46875
CUW,1917,26.5405,25.8846666666667,27.1963333333333
CUW,1918,26.742,26.1145,27.3695
CUW,1919,27.2811666666667,26.8148333333333,27.7475
CUW,1920,27.0433333333333,26.434,27.6526666666667
CUW,1921,26.8063333333333,26.3014166666667,27.31125
CUW,1922,27.0034166666667,26.54025,27.4665833333333
CUW,1923,27.0264166666667,26.5766666666667,27.4761666666667
CUW,1924,27.325,26.78675,27.86325
CUW,1925,27.1104166666667,26.7269166666667,27.4939166666667
CUW,1926,27.73975,27.3174166666667,28.1620833333333
CUW,1927,27.2766666666667,26.8715,27.6818333333333
CUW,1928,27.4133333333333,26.9426666666667,27.884
CUW,1929,27.2104166666667,26.8004166666667,27.6204166666667
CUW,1930,27.1610833333333,26.5525833333333,27.7695833333333
CUW,1931,27.6628333333333,27.1109166666667,28.21475
CUW,1932,27.5066666666667,27.0268333333333,27.9865
CUW,1933,27.12775,26.7476666666667,27.5078333333333
CUW,1934,27.4325,26.86925,27.99575
CUW,1935,27.0930833333333,26.5840833333333,27.6020833333333
CUW,1936,27.275,26.7711666666667,27.7788333333333
CUW,1937,27.4479166666667,27.0556666666667,27.8401666666667
CUW,1938,26.9339166666667,26.39,27.4778333333333
CUW,1939,27.1585833333333,26.51475,27.8024166666667
CUW,1940,27.9713333333333,27.4705,28.4721666666667
CUW,1941,28.0506666666667,27.518,28.5833333333333
CUW,1942,28.04625,27.4624166666667,28.6300833333333
CUW,1943,27.3988333333333,26.977,27.8206666666667
CUW,1944,27.5084166666667,27.03625,27.9805833333333
CUW,1945,27.2916666666667,26.84775,27.7355833333333
CUW,1946,27.0430833333333,26.4688333333333,27.6173333333333
CUW,1947,27.6535833333333,27.28375,28.0234166666667
CUW,1948,27.61,27.28525,27.93475
CUW,1949,27.2580833333333,26.8745833333333,27.6415833333333
CUW,1950,26.9203333333333,26.5773333333333,27.2633333333333
CUW,1951,27.61325,27.229,27.9975
CUW,1952,27.9465,27.5838333333333,28.3091666666667
CUW,1953,27.8570833333333,27.5346666666667,28.1795
CUW,1954,27.4858333333333,27.0295,27.9421666666667
CUW,1955,27.2134166666667,26.5755,27.8513333333333
CUW,1956,27.2889166666667,26.9804166666667,27.5974166666667
CUW,1957,27.4548333333333,26.859,28.0506666666667
CUW,1958,28.2595833333333,27.8045833333333,28.7145833333333
CUW,1959,27.6370833333333,27.1958333333333,28.0783333333333
CUW,1960,27.77375,27.3568333333333,28.1906666666667
CUW,1961,27.5165,27.1416666666667,27.8913333333333
CUW,1962,27.7079166666667,27.3693333333333,28.0465
CUW,1963,27.7585,27.5001666666667,28.0168333333333
CUW,1964,27.5510833333333,27.21725,27.8849166666667
CUW,1965,27.45775,27.05225,27.86325
CUW,1966,27.6904166666667,27.3230833333333,28.05775
CUW,1967,27.3581666666667,26.9168333333333,27.7995
CUW,1968,27.5629166666667,27.22975,27.8960833333333
CUW,1969,28.0875,27.77675,28.39825
CUW,1970,27.8039166666667,27.4715833333333,28.13625
CUW,1971,27.2829166666667,26.9775833333333,27.58825
CUW,1972,27.7279166666667,27.4078333333333,28.048
CUW,1973,27.7453333333333,27.4536666666667,28.037
CUW,1974,27.1426666666667,26.84075,27.4445833333333
CUW,1975,27.3730833333333,26.9218333333333,27.8243333333333
CUW,1976,27.2119166666667,26.9156666666667,27.5081666666667
CUW,1977,27.8910833333333,27.5753333333333,28.2068333333333
CUW,1978,27.8514166666667,27.4990833333333,28.20375
CUW,1979,27.9165,27.5448333333333,28.2881666666667
CUW,1980,28.0318333333333,27.7186666666667,28.345
CUW,1981,27.9720833333333,27.5691666666667,28.375
CUW,1982,27.68375,27.42175,27.94575
CUW,1983,28.0836666666667,27.7621666666667,28.4051666666667
CUW,1984,27.6350833333333,27.40375,27.8664166666667
CUW,1985,27.33175,27.0161666666667,27.6473333333333
CUW,1986,27.4840833333333,27.181,27.7871666666667
CUW,1987,28.37475,28.028,28.7215
CUW,1988,27.7835833333333,27.4716666666667,28.0955
CUW,1989,27.5556666666667,27.21025,27.9010833333333
CUW,1990,27.6919166666667,27.3101666666667,28.0736666666667
CUW,1991,27.70175,27.3889166666667,28.0145833333333
CUW,1992,27.9083333333333,27.5751666666667,28.2415
CUW,1993,27.9995833333333,27.6754166666667,28.32375
CUW,1994,27.9203333333333,27.644,28.1966666666667
CUW,1995,28.2218333333333,27.8956666666667,28.548
CUW,1996,27.9536666666667,27.6484166666667,28.2589166666667
CUW,1997,28.0781666666667,27.663,28.4933333333333
CUW,1998,28.4026666666667,28.0268333333333,28.7785
CUW,1999,27.6831666666667,27.3555,28.0108333333333
CUW,2000,27.5640833333333,27.2435833333333,27.8845833333333
CUW,2001,28.0104166666667,27.4711666666667,28.5496666666667
CUW,2002,28.2429166666667,27.91775,28.5680833333333
CUW,2003,28.2660833333333,27.9281666666667,28.604
CUW,2004,27.8906666666667,27.5851666666667,28.1961666666667
CUW,2005,28.2095833333333,27.8491666666667,28.57
CUW,2006,28.2653333333333,27.8870833333333,28.6435833333333
CUW,2007,28.2846666666667,27.9,28.6693333333333
CUW,2008,27.9185,27.5983333333333,28.2386666666667
CUW,2009,28.2525,27.913,28.592
CUW,2010,28.4735,28.124,28.823
CUW,2011,27.97975,27.56525,28.39425
CUW,2012,28.053,27.5414166666667,28.5645833333333
CUW,2013,,,
CYP,1900,19.0205833333333,18.5565833333333,19.4845833333333
CYP,1901,19.4443333333333,18.984,19.9046666666667
